sponsor,total_trials,completed,terminated,avg_enrollment,sponsor_category,completion_rate,termination_rate
He Eye Hospital,3,3,0,153.0,Hospital and Health System,100.0,0.0
Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,3,3,0,38.0,Large Pharma,100.0,0.0
Daping Hospital and the Research Institute of Surgery of the Third Military Medical University,3,1,0,241.0,Academic,33.3,0.0
Darell Bigner,3,1,0,33.0,Other,33.3,0.0
Galenicum Health,3,3,0,41.0,Other,100.0,0.0
Tata Memorial Centre,3,1,1,195.0,Other,33.3,33.3
Fidia Farmaceutici s.p.a.,3,3,0,153.0,Biotech,100.0,0.0
"Fadoi Foundation, Italy",3,2,1,1761.0,Other,66.7,33.3
"Dart NeuroScience, LLC",3,0,3,22.0,Other,0.0,100.0
"Aadi Bioscience, Inc.",3,2,0,16.0,Biotech,66.7,0.0
Guang'anmen Hospital of China Academy of Chinese Medical Sciences,3,2,0,111.0,Biotech,66.7,0.0
EchoNous Inc.,3,3,0,74.0,Biotech,100.0,0.0
"Sol-Gel Technologies, Ltd.",3,2,1,228.0,Other,66.7,33.3
Neuroscience Trials Australia,3,3,0,194.0,Other,100.0,0.0
Ajman University,3,3,0,144.0,Academic,100.0,0.0
Aksaray University,3,3,0,68.0,Academic,100.0,0.0
Biojiva LLC,3,2,0,42.0,Other,66.7,0.0
RHEACELL GmbH & Co. KG,3,1,2,63.0,Biotech,33.3,66.7
Shaheed Zulfiqar Ali Bhutto Medical University,3,3,0,107.0,Academic,100.0,0.0
Hôpital d'enfants Béchir-Hamza,3,3,0,137.0,Hospital and Health System,100.0,0.0
"University of Massachusetts, Lowell",3,2,1,26.0,Academic,66.7,33.3
Hôpital Universitaire Sahloul,3,3,0,300.0,Academic,100.0,0.0
Western University of Health Sciences,3,2,0,40.0,Biotech,66.7,0.0
John Mascarenhas,3,2,0,14.0,Other,66.7,0.0
Azienda Ospedaliero-Universitaria di Parma,3,3,0,65.0,Other,100.0,0.0
Advanced Bionics AG,3,3,0,19.0,Other,100.0,0.0
Quadram Institute Bioscience,3,2,0,26.0,Biotech,66.7,0.0
"Cassava Sciences, Inc.",3,3,0,285.0,Biotech,100.0,0.0
Lancaster University,3,3,0,14.0,Academic,100.0,0.0
"Castle Creek Pharmaceuticals, LLC",3,2,1,42.0,Large Pharma,66.7,33.3
"Liberating Technologies, Inc.",3,2,0,8.0,Biotech,66.7,0.0
Catalysis SL,3,3,0,61.0,Other,100.0,0.0
Qingdao Central Hospital,3,3,0,127.0,Hospital and Health System,100.0,0.0
Iuliu Hatieganu University of Medicine and Pharmacy,3,3,0,64.0,Large Pharma,100.0,0.0
"Molecular Templates, Inc.",3,0,3,29.0,Biotech,0.0,100.0
Saskatchewan Health Authority - Regina Area,3,2,0,14.0,Government and Public Health,66.7,0.0
Molecular Partners AG,3,2,1,19.0,Other,66.7,33.3
Molecular NeuroImaging,3,3,0,6.0,Other,100.0,0.0
Palacky University,3,3,0,35.0,Academic,100.0,0.0
"Inhibrx Biosciences, Inc",3,1,0,216.0,Biotech,33.3,0.0
Molde University College,3,3,0,33.0,Academic,100.0,0.0
"Next Biomedical Co., Ltd.",3,3,0,49.0,Biotech,100.0,0.0
Biocon Limited,3,3,0,84.0,Other,100.0,0.0
"Carl Zeiss Meditec, Inc.",3,2,1,262.0,Biotech,66.7,33.3
University of Melbourne,3,3,0,69.0,Academic,100.0,0.0
Camilo Jose Cela University,3,2,0,54.0,Academic,66.7,0.0
Hôpital du Valais,3,3,0,140.0,Hospital and Health System,100.0,0.0
Campus Bio-Medico University,3,2,0,50.0,Academic,66.7,0.0
Shanghai University of Traditional Chinese Medicine,3,3,0,139.0,Academic,100.0,0.0
Can Tho University of Medicine and Pharmacy,3,3,0,36.0,Large Pharma,100.0,0.0
"Shanghai Vinnerna Biosciences Co., Ltd.",3,3,0,26.0,Biotech,100.0,0.0
"Shanghai Vitalgen BioPharma Co., Ltd.",3,0,0,21.0,Large Pharma,0.0,0.0
"National Healthcare Group, Singapore",3,3,0,136.0,Hospital and Health System,100.0,0.0
Canadian Radiostereometric Analysis Network,3,3,0,66.0,Other,100.0,0.0
Instituto de Seguridad y Servicios Sociales de los Trabajadores del Estado,3,3,0,38.0,Hospital and Health System,100.0,0.0
Laboratoires Vivacy,3,3,0,73.0,Other,100.0,0.0
"IGM Biosciences, Inc.",3,0,3,20.0,Biotech,0.0,100.0
Istanbul Sabahattin Zaim University,3,3,0,61.0,Academic,100.0,0.0
Lia Bally,3,3,0,29.0,Other,100.0,0.0
Wenzhou Medical University,3,2,0,55.0,Academic,66.7,0.0
Cantonal Hospital of St. Gallen,3,2,0,10.0,Hospital and Health System,66.7,0.0
IBSA Institut Biochimique SA,3,1,0,300.0,Hospital and Health System,33.3,0.0
Capricor Inc.,3,1,0,42.0,Biotech,33.3,0.0
"Alberta Health Services, Calgary",3,3,0,60.0,Other,100.0,0.0
Next Science TM,3,1,1,28.0,Other,33.3,33.3
Padagis LLC,3,3,0,576.0,Other,100.0,0.0
CardiacSense Ltd.,3,3,0,39.0,Other,100.0,0.0
Laboratoires FILLMED,3,3,0,205.0,Other,100.0,0.0
West University of Timisoara,3,3,0,94.0,Academic,100.0,0.0
Cardiff Oncology,3,3,0,62.0,Biotech,100.0,0.0
Istituto Giannina Gaslini,3,1,2,60.0,Other,33.3,66.7
"WestVac Biopharma Co., Ltd.",3,3,0,13691.0,Large Pharma,100.0,0.0
University of Milan,3,3,0,126.0,Academic,100.0,0.0
"Carestream Health, Inc.",3,3,0,47.0,Biotech,100.0,0.0
"Huons Co., Ltd.",3,2,0,46.0,Biotech,66.7,0.0
"Cellid Co., Ltd.",3,3,0,170.0,Biotech,100.0,0.0
Injeq Ltd,3,3,0,53.0,Other,100.0,0.0
Jules Bordet Institute,3,1,0,18.0,Academic,33.3,0.0
Santen SAS,3,3,0,162.0,Other,100.0,0.0
"Shenzhen Precision Health Food Technology Co. Ltd.,",3,3,0,101.0,Other,100.0,0.0
Jacques E. Chelly,3,2,1,29.0,Other,66.7,33.3
"Anterogen Co., Ltd.",3,2,0,43.0,Biotech,66.7,0.0
LifeScan,3,3,0,144.0,Other,100.0,0.0
Hugel,3,3,0,259.0,Other,100.0,0.0
"Woman's Health University Hospital, Egypt",3,3,0,232.0,Academic,100.0,0.0
Lifespan,3,3,0,4138.0,Other,100.0,0.0
Annovis Bio Inc.,3,3,0,148.0,Biotech,100.0,0.0
Innovaderm Research Inc.,3,3,0,35.0,Biotech,100.0,0.0
University of Gran Rosario,3,3,0,38.0,Academic,100.0,0.0
University of Giessen,3,3,0,45.0,Academic,100.0,0.0
National Taiwan University Hospital Hsin-Chu Branch,3,2,1,67.0,Academic,66.7,33.3
Centre for Infectious Disease Research in Zambia,3,3,0,1498.0,Other,100.0,0.0
Centre for Interdisciplinary Research in Rehabilitation of Greater Montreal,3,3,0,37.0,Other,100.0,0.0
Wonju Severance Christian Hospital,3,3,0,47.0,Hospital and Health System,100.0,0.0
Roxall Medicina España S.A,3,3,0,49.0,Other,100.0,0.0
"OBI Pharma, Inc",3,0,2,229.0,Large Pharma,0.0,66.7
Utah State University,3,3,0,77.0,Academic,100.0,0.0
"Instituto Nacional de Cancerologia, Columbia",3,1,1,124.0,Hospital and Health System,33.3,33.3
Centro Cardiologico Monzino,3,2,0,733.0,Other,66.7,0.0
Santa Catarina Federal University,3,3,0,236.0,Academic,100.0,0.0
University of Erlangen-Nürnberg,3,3,0,141.0,Academic,100.0,0.0
"Mustafa Khasraw, MBChB, MD, FRCP, FRACP",3,1,1,31.0,Other,33.3,33.3
"Instituto Nacional de Cancer, Brazil",3,2,0,42.0,Hospital and Health System,66.7,0.0
Qazvin University Of Medical Sciences,3,3,0,870.0,Biotech,100.0,0.0
"AnnJi Pharmaceutical Co., Ltd.",3,3,0,51.0,Large Pharma,100.0,0.0
Innovacion y Desarrollo de Estrategias en Salud,3,3,0,86.0,Other,100.0,0.0
"Life for a Child Program, Diabetes Australia",3,3,0,253.0,Other,100.0,0.0
Withings,3,3,0,280.0,Other,100.0,0.0
ApcinteX Ltd,3,0,3,26.0,Other,0.0,100.0
Life University,3,3,0,27.0,Academic,100.0,0.0
University of Johannesburg,3,3,0,30.0,Academic,100.0,0.0
Aprea Therapeutics,3,1,2,15.0,Biotech,33.3,66.7
University of Indianapolis,3,2,0,15.0,Academic,66.7,0.0
"Applied Therapeutics, Inc.",3,2,0,279.0,Biotech,66.7,0.0
"Royal College of Surgeons, Ireland",3,3,0,36.0,Academic,100.0,0.0
"Applied Biology, Inc.",3,3,0,241.0,Biotech,100.0,0.0
"Inmune Bio, Inc.",3,0,2,30.0,Biotech,0.0,66.7
JHSPH Center for Clinical Trials,3,3,0,204.0,Hospital and Health System,100.0,0.0
"Center for Social Innovation, Massachusetts",3,3,0,1284.0,Other,100.0,0.0
Alder Hey Children's NHS Foundation Trust,3,3,0,160.0,Government and Public Health,100.0,0.0
Adocia,3,3,0,23.0,Other,100.0,0.0
University of Idaho,3,3,0,15.0,Academic,100.0,0.0
Centre Hospitalier Universitaire de la Guadeloupe,3,2,0,68.0,Academic,66.7,0.0
BioSerenity,3,3,0,29.0,Other,100.0,0.0
Urovant Sciences GmbH,3,3,0,611.0,Biotech,100.0,0.0
Humanitas Clinical and Research Center,3,3,0,51.0,Hospital and Health System,100.0,0.0
Instituto Nacional de Enfermedades Respiratorias,3,2,1,43.0,Hospital and Health System,66.7,33.3
Centre Hospitalier Annecy Genevois,3,3,0,234.0,Hospital and Health System,100.0,0.0
"BioNTech Research & Development, Inc.",3,0,3,46.0,Large Pharma,0.0,100.0
"Antios Therapeutics, Inc",3,2,1,55.0,Biotech,66.7,33.3
"BioMimetix JV, LLC",3,1,1,10.0,Other,33.3,33.3
Centre Hospitalier Metropole Savoie,3,3,0,48.0,Hospital and Health System,100.0,0.0
Centre Hospitalier Sud Francilien,3,1,2,36.0,Hospital and Health System,33.3,66.7
Royal College of Surgeons in Ireland - Medical University of Bahrain,3,2,0,63.0,Academic,66.7,0.0
University of Health Sciences Lahore,3,3,0,120.0,Biotech,100.0,0.0
ORIC Pharmaceuticals,3,2,1,32.0,Large Pharma,66.7,33.3
Royan Institute,3,3,0,61.0,Academic,100.0,0.0
Ankara Diskapi Training and Research Hospital,3,3,0,89.0,Hospital and Health System,100.0,0.0
"Viridian Therapeutics, Inc.",3,1,0,150.0,Biotech,33.3,0.0
Al Hadi Hospital,3,3,0,42.0,Hospital and Health System,100.0,0.0
"Shanghai HEP Pharmaceutical Co., Ltd.",3,3,0,30.0,Large Pharma,100.0,0.0
Lahore General Hospital,3,2,0,99.0,Hospital and Health System,66.7,0.0
Aurinia Pharmaceuticals Inc.,3,2,1,174.0,Large Pharma,66.7,33.3
Lahey Clinic,3,2,1,90.0,Hospital and Health System,66.7,33.3
Johnson & Johnson Consumer and Personal Products Worldwide,3,3,0,192.0,Large Pharma,100.0,0.0
"BrightGene Bio-Medical Technology Co., Ltd.",3,3,0,72.0,Biotech,100.0,0.0
RemovAid AS,3,1,2,89.0,Other,33.3,66.7
Rahul Aggarwal,3,0,2,18.0,Other,0.0,66.7
Rain Oncology Inc,3,0,2,16.0,Biotech,0.0,66.7
Mount Carmel Health System,3,0,1,29.0,Hospital and Health System,0.0,33.3
"Attralus, Inc.",3,2,0,55.0,Biotech,66.7,0.0
IlDong Pharmaceutical Co Ltd,3,2,1,81.0,Large Pharma,66.7,33.3
"Il-Yang Pharm. Co., Ltd.",3,2,0,227.0,Biotech,66.7,0.0
Shanghai Institute Of Biological Products,3,3,0,1909.0,Academic,100.0,0.0
University of Taipei,3,3,0,21.0,Academic,100.0,0.0
University of Tabuk,3,3,0,187.0,Academic,100.0,0.0
"Vivozon, Inc.",3,3,0,53.0,Biotech,100.0,0.0
University of Sydney,3,1,1,397.0,Academic,33.3,33.3
University of Sussex,3,3,0,157.0,Academic,100.0,0.0
University of Stirling,3,2,0,19.0,Academic,66.7,0.0
"National Academy of Medical Sciences, Nepal",3,3,0,78.0,Biotech,100.0,0.0
Atriva Therapeutics GmbH,3,2,1,100.0,Biotech,66.7,33.3
Bruyère Health Research Institute.,3,3,0,49.0,Academic,100.0,0.0
University of Southern Mississippi,3,2,0,85.0,Academic,66.7,0.0
University of the Incarnate Word,3,3,0,42.0,Academic,100.0,0.0
Implicit Bioscience,3,0,0,3.0,Biotech,0.0,0.0
International Vaccine Institute,3,2,1,1136.0,Academic,66.7,33.3
"Johnson & Johnson Consumer Inc., McNeil Consumer Healthcare Division",3,3,0,303.0,Large Pharma,100.0,0.0
Aeglea Biotherapeutics,3,3,0,26.0,Biotech,100.0,0.0
Bitop AG,3,3,0,163.0,Other,100.0,0.0
"Avidity Biosciences, Inc.",3,2,0,89.0,Biotech,66.7,0.0
University of Yalova,3,3,0,63.0,Academic,100.0,0.0
"Shanghai Ark Biopharmaceutical Co., Ltd.",3,3,0,49.0,Large Pharma,100.0,0.0
Blue Earth Diagnostics,3,3,0,284.0,Other,100.0,0.0
Ahi Evran University Education and Research Hospital,3,3,0,63.0,Academic,100.0,0.0
University of Westminster,3,3,0,31.0,Academic,100.0,0.0
Bogomolets National Medical University,3,3,0,54.0,Academic,100.0,0.0
Bolt Medical,3,2,0,181.0,Other,66.7,0.0
Intergroupe Francophone du Myelome,3,0,1,404.0,Other,0.0,33.3
Lallemand Health Solutions,3,2,0,72.0,Other,66.7,0.0
University of York,3,3,0,41.0,Academic,100.0,0.0
Sedana Medical,3,2,0,228.0,Other,66.7,0.0
"VistaGen Therapeutics, Inc.",3,1,1,169.0,Biotech,33.3,33.3
Immunic AG,3,0,0,810.0,Other,0.0,0.0
Shanghai Changzheng Hospital,3,0,0,68.0,Hospital and Health System,0.0,0.0
Borstkanker Onderzoek Groep,3,1,0,367.0,Other,33.3,0.0
"Avalo Therapeutics, Inc.",3,2,1,117.0,Biotech,66.7,33.3
International Extranodal Lymphoma Study Group (IELSG),3,1,0,64.0,Government and Public Health,33.3,0.0
"Impact Therapeutics, Inc.",3,3,0,55.0,Biotech,100.0,0.0
"Virtua Health, Inc.",3,1,2,52.0,Biotech,33.3,66.7
Autolus Limited,3,1,2,18.0,Other,33.3,66.7
Shanghai Eye Disease Prevention and Treatment Center,3,2,0,220.0,Other,66.7,0.0
PPM Services S.A.,3,0,1,273.0,Other,0.0,33.3
"International Partnership for Microbicides, Inc.",3,3,0,535.0,Biotech,100.0,0.0
University of Vermont Medical Center,3,3,0,56.0,Academic,100.0,0.0
Nanobiotix,3,0,2,58.0,Other,0.0,66.7
Brandeis University,3,3,0,104.0,Academic,100.0,0.0
Bukwang Pharmaceutical,3,3,0,115.0,Large Pharma,100.0,0.0
Affiliated Hospital of Jiangnan University,3,3,0,16.0,Academic,100.0,0.0
Johns Hopkins All Children's Hospital,3,1,1,27.0,Hospital and Health System,33.3,33.3
Obafemi Awolowo University,3,3,0,32.0,Academic,100.0,0.0
Ayub Teaching Hospital,3,3,0,163.0,Hospital and Health System,100.0,0.0
University of Plymouth,3,2,0,16.0,Academic,66.7,0.0
New York Medical College,3,3,0,35.0,Academic,100.0,0.0
Journey Medical Corporation,3,3,0,154.0,Biotech,100.0,0.0
CONRAD,3,3,0,63.0,Other,100.0,0.0
Isabelle Herter-Aeberli,3,3,0,23.0,Other,100.0,0.0
Oregon Research Institute,3,2,0,1311.0,Academic,66.7,0.0
Zhaoke (Guangzhou) Ophthalmology Pharmaceutical Ltd.,3,1,0,444.0,Large Pharma,33.3,0.0
Ascension Health,3,2,0,83.0,Other,66.7,0.0
"CSPC Baike (Shandong) Biopharmaceutical Co., Ltd.",3,3,0,249.0,Large Pharma,100.0,0.0
Queen's Medical Center,3,1,2,24.0,Hospital and Health System,33.3,66.7
Universitätsklinikum Köln,3,2,1,63.0,Other,66.7,33.3
Islamabad Medical and Dental College,3,3,0,91.0,Academic,100.0,0.0
"Shanghai Shenqi Medical Technology Co., Ltd",3,3,0,182.0,Biotech,100.0,0.0
University of Paris 5 - Rene Descartes,3,3,0,132.0,Academic,100.0,0.0
University of Paris 13,3,3,0,40406.0,Academic,100.0,0.0
Aerin Medical,3,3,0,103.0,Other,100.0,0.0
Asana BioSciences,3,2,1,138.0,Biotech,66.7,33.3
IRCCS Policlinico S. Donato,3,2,1,111.0,Hospital and Health System,66.7,33.3
Laboratorio Elea Phoenix S.A.,3,3,0,1022.0,Other,100.0,0.0
"IRCCS National Neurological Institute ""C. Mondino"" Foundation",3,3,0,47.0,Academic,100.0,0.0
California Baptist University,3,3,0,11.0,Academic,100.0,0.0
National Eye Institute (NEI),3,2,0,15.0,Academic,66.7,0.0
Pacific University,3,2,0,45.0,Academic,66.7,0.0
New York City Health and Hospitals Corporation,3,2,0,41.0,Biotech,66.7,0.0
Université Libre de Bruxelles,3,2,1,22.0,Academic,66.7,33.3
Biomedical Advanced Research and Development Authority,3,3,0,278.0,Biotech,100.0,0.0
Ramathibodi Hospital,3,3,0,94.0,Hospital and Health System,100.0,0.0
"Selecta Biosciences, Inc.",3,2,0,64.0,Biotech,66.7,0.0
Asklepieion Voulas General Hospital,3,3,0,99.0,Hospital and Health System,100.0,0.0
University of Rzeszow,3,3,0,117.0,Academic,100.0,0.0
"Scynexis, Inc.",3,2,1,219.0,Biotech,66.7,33.3
Mostafa Bahaa,3,3,0,69.0,Other,100.0,0.0
Ichnos Sciences SA,3,2,1,49.0,Biotech,66.7,33.3
Laborie Medical Technologies Inc.,3,3,0,12.0,Biotech,100.0,0.0
University of Sharjah,3,2,0,60.0,Academic,66.7,0.0
"Afferent Pharmaceuticals, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA)",3,3,0,118.0,Large Pharma,100.0,0.0
Iowa State University,3,3,0,290.0,Academic,100.0,0.0
Icadom,3,3,0,98.0,Other,100.0,0.0
Joslin Diabetes Center,3,2,0,122.0,Other,66.7,0.0
"Astellas Pharma China, Inc.",3,3,0,127.0,Large Pharma,100.0,0.0
Assuta Ashdod Hospital,3,3,0,70.0,Hospital and Health System,100.0,0.0
CAGE Bio Inc.,3,3,0,47.0,Biotech,100.0,0.0
Aymes International Limited,3,3,0,18.0,Government and Public Health,100.0,0.0
"NanOlogy, LLC",3,2,1,20.0,Other,66.7,33.3
"Iaso Maternity Hospital, Athens, Greece",3,3,0,59.0,Hospital and Health System,100.0,0.0
InQpharm Group,3,2,0,35.0,Other,66.7,0.0
Johnson & Johnson Private Limited,3,3,0,108.0,Large Pharma,100.0,0.0
Incheon St.Mary's Hospital,3,3,0,197.0,Hospital and Health System,100.0,0.0
"Lentechs, LLC",3,3,0,40.0,Other,100.0,0.0
"Morten Hostrup, PhD",3,3,0,33.0,Other,100.0,0.0
Wake Forest University,3,3,0,52.0,Academic,100.0,0.0
"Scilex Pharmaceuticals, Inc.",3,3,0,148.0,Large Pharma,100.0,0.0
CHRISTUS Health,3,2,1,36.0,Other,66.7,33.3
Biosearch S.A.,3,3,0,193.0,Other,100.0,0.0
Walid HABRE,3,2,1,200.0,Other,66.7,33.3
University of Portsmouth,3,2,1,14.0,Academic,66.7,33.3
Ankara Training and Research Hospital,3,3,0,148.0,Hospital and Health System,100.0,0.0
Centre de Recherche de l'Institut Universitaire de Geriatrie de Montreal,3,3,0,99.0,Academic,100.0,0.0
Rowan University,3,3,0,46.0,Academic,100.0,0.0
"Concordia University, Montreal",3,1,0,71.0,Academic,33.3,0.0
Institut de cancérologie Strasbourg Europe,3,2,1,33.0,Hospital and Health System,66.7,33.3
Hoag Memorial Hospital Presbyterian,3,2,0,67.0,Hospital and Health System,66.7,0.0
"University Children's Hospital, Zurich",3,3,0,76.0,Academic,100.0,0.0
Beijing Pearl Biotechnology Limited Liability Company,3,2,0,46.0,Biotech,66.7,0.0
Alvotech Swiss AG,3,2,1,347.0,Other,66.7,33.3
Universiti Tunku Abdul Rahman,3,3,0,31.0,Other,100.0,0.0
Bangkok Metropolitan Administration Medical College and Vajira Hospital,3,3,0,118.0,Academic,100.0,0.0
"Cogent Biosciences, Inc.",3,1,1,177.0,Biotech,33.3,33.3
Cognition Therapeutics,3,3,0,66.0,Biotech,100.0,0.0
Otolith Labs,3,2,0,22.0,Biotech,66.7,0.0
Saint Luke's Health System,3,2,0,438.0,Hospital and Health System,66.7,0.0
NVP Healthcare,3,3,0,177.0,Hospital and Health System,100.0,0.0
Universitat de Lleida,3,3,0,39.0,Academic,100.0,0.0
Altria Client Services LLC,3,3,0,405.0,Other,100.0,0.0
Institut fur Diabetes Karlsburg GmbH,3,3,0,113.0,Biotech,100.0,0.0
"Noctrix Health, Inc.",3,3,0,98.0,Biotech,100.0,0.0
HilleVax,3,2,1,1145.0,Other,66.7,33.3
Hill-Rom,3,2,1,21.0,Other,66.7,33.3
"Beijing Continent Pharmaceutical Co, Ltd.",3,3,0,120.0,Large Pharma,100.0,0.0
Baqiyatallah Medical Sciences University,3,3,0,376.0,Biotech,100.0,0.0
Altinbas University,3,3,0,108.0,Academic,100.0,0.0
Althaia Xarxa Assistencial Universitària de Manresa,3,3,0,605.0,Other,100.0,0.0
Highlight Therapeutics,3,2,1,35.0,Biotech,66.7,33.3
HighTide Biopharma Pty Ltd,3,3,0,229.0,Large Pharma,100.0,0.0
Universitas Airlangga,3,3,0,61.0,Other,100.0,0.0
Beijing Chao Yang Hospital,3,2,1,160.0,Hospital and Health System,66.7,33.3
Universitaet Innsbruck,3,3,0,89.0,Other,100.0,0.0
Concordia Dent Srl,3,3,0,43.0,Other,100.0,0.0
Sinew Pharma Inc.,3,2,1,44.0,Large Pharma,66.7,33.3
Larissa University Hospital,3,3,0,89.0,Academic,100.0,0.0
Kubota Vision Inc.,3,3,0,24.0,Biotech,100.0,0.0
"Relievant Medsystems, Inc.",3,2,0,63.0,Biotech,66.7,0.0
"Clinic of Phlebology and Laser Surgery, Chelyabinsk, Russia",3,3,0,595.0,Hospital and Health System,100.0,0.0
Yale-NUS College,3,3,0,164.0,Academic,100.0,0.0
University Hospital of Split,3,3,0,154.0,Academic,100.0,0.0
Yang Shang-Yu,3,3,0,93.0,Other,100.0,0.0
"Yung Shin Pharm. Ind. Co., Ltd.",3,3,0,34.0,Biotech,100.0,0.0
"SightGlass Vision, Inc.",3,0,0,171.0,Biotech,0.0,0.0
King Faisal Specialist Hospital & Research Center,3,2,1,40.0,Hospital and Health System,66.7,33.3
Shi Ming,3,1,0,12.0,Other,33.3,0.0
Omeicos Therapeutics GmbH,3,3,0,80.0,Biotech,100.0,0.0
Institut Pasteur de Lille,3,3,0,80.0,Hospital and Health System,100.0,0.0
Cleveland State University,3,3,0,48.0,Academic,100.0,0.0
Research Institute for Biological Safety Problems,3,3,0,848.0,Academic,100.0,0.0
University Hospital Rijeka,3,3,0,157.0,Academic,100.0,0.0
University Hospital Plymouth NHS Trust,3,2,1,36.0,Academic,66.7,33.3
BelkinVision,3,1,0,80.0,Other,33.3,0.0
Banc de Sang i Teixits,3,3,0,38.0,Other,100.0,0.0
Nerviano Medical Sciences,3,0,2,69.0,Biotech,0.0,66.7
"Verona Pharma, Inc., a subsidiary of Merck & Co., Inc. (Rahway, New Jersey USA",3,3,0,34.0,Large Pharma,100.0,0.0
Minerva Neurosciences,3,3,0,182.0,Biotech,100.0,0.0
"Beijing Zhifei Lvzhu Biopharmaceutical Co., Ltd",3,3,0,650.0,Large Pharma,100.0,0.0
Amazentis SA,3,3,0,87.0,Other,100.0,0.0
Clinique Medipole Garonne,3,3,0,53.0,Other,100.0,0.0
Yaounde Central Hospital,3,3,0,25.0,Hospital and Health System,100.0,0.0
"Verastem, Inc.",3,1,1,19.0,Biotech,33.3,33.3
King Fahad Medical City,3,2,0,96.0,Other,66.7,0.0
Yasmin Hurd,3,3,0,89.0,Other,100.0,0.0
Holostem s.r.l.,3,0,3,1.0,Other,0.0,100.0
RedHill Biopharma Limited,3,3,0,82.0,Large Pharma,100.0,0.0
Amager Hospital,3,3,0,330.0,Hospital and Health System,100.0,0.0
Neurim Pharmaceuticals Ltd.,3,1,0,199.0,Large Pharma,33.3,0.0
Yiling Pharmaceutical Inc.,3,3,0,32.0,Large Pharma,100.0,0.0
King Hussein Cancer Center,3,2,1,97.0,Hospital and Health System,66.7,33.3
Altamash Institute of Dental Medicine,3,3,0,37.0,Academic,100.0,0.0
Corewell Health West,3,2,1,48.0,Other,66.7,33.3
Universidade Estadual do Norte do Parana,3,3,0,59.0,Academic,100.0,0.0
Liverpool University Hospitals NHS Foundation Trust,3,2,0,116.0,Academic,66.7,0.0
"Sinovac Research and Development Co., Ltd.",3,2,0,507.0,Biotech,66.7,0.0
Saglik Bilimleri Universitesi Gazi Yasargil Training and Research Hospital,3,3,0,93.0,Academic,100.0,0.0
"Alliance Foundation Trials, LLC.",3,1,0,1974.0,Other,33.3,0.0
BeOne Medicines,3,1,1,208.0,Other,33.3,33.3
VectivBio AG,3,2,1,27.0,Other,66.7,33.3
Allena Pharmaceuticals,3,2,1,19.0,Large Pharma,66.7,33.3
"Rockwell Medical Technologies, Inc.",3,2,1,12.0,Biotech,66.7,33.3
Universidad de Extremadura,3,3,0,33.0,Academic,100.0,0.0
Helsinn Healthcare SA,3,2,1,209.0,Hospital and Health System,66.7,33.3
Crinetics Pharmaceuticals Inc.,3,2,0,54.0,Large Pharma,66.7,0.0
Jimma University,3,3,0,456.0,Academic,100.0,0.0
"Criterium, Inc.",3,0,2,26.0,Biotech,0.0,66.7
Regional Hospital Holstebro,3,3,0,30.0,Hospital and Health System,100.0,0.0
Helse Fonna,3,3,0,98.0,Other,100.0,0.0
Universidad San Francisco de Quito,3,2,0,73.0,Academic,66.7,0.0
Baystate Medical Center,3,2,0,26.0,Hospital and Health System,66.7,0.0
Cui Xulei,3,3,0,65.0,Other,100.0,0.0
Krankenhaus Barmherzige Schwestern Linz,3,1,1,18.0,Other,33.3,33.3
Noom Inc.,3,3,0,187.0,Biotech,100.0,0.0
"Institut universitaire de cardiologie et de pneumologie de Québec, University Laval",3,1,0,47.0,Academic,33.3,0.0
Aligos Therapeutics,3,2,1,101.0,Biotech,66.7,33.3
Institute for Clinical Effectiveness and Health Policy,3,2,0,474.0,Academic,66.7,0.0
"Curatek Pharmaceuticals, LLC",3,3,0,297.0,Large Pharma,100.0,0.0
Psoriasis Treatment Center of Central New Jersey,3,3,0,33.0,Other,100.0,0.0
Heilongjiang Feihe Dairy Co. Ltd.,3,3,0,220.0,Other,100.0,0.0
Neuroscience Research Australia,3,3,0,80.0,Other,100.0,0.0
"Sinovac (Dalian) Vaccine Technology Co., Ltd.",3,3,0,441.0,Biotech,100.0,0.0
Baudax Bio,3,3,0,324.0,Other,100.0,0.0
Corbus Pharmaceuticals Inc.,3,2,1,215.0,Large Pharma,66.7,33.3
NTC srl,3,3,0,55.0,Other,100.0,0.0
Public Health Service of Amsterdam,3,2,0,358.0,Government and Public Health,66.7,0.0
Vascular Graft Solutions Ltd.,3,3,0,76.0,Other,100.0,0.0
Consorci Sanitari Integral,3,3,0,104.0,Other,100.0,0.0
Milestone Pharmaceuticals Inc.,3,1,2,445.0,Large Pharma,33.3,66.7
"Neuro Counsel Hospital, Pakistan",3,3,0,60.0,Hospital and Health System,100.0,0.0
Universidade de Passo Fundo,3,3,0,43.0,Academic,100.0,0.0
NeuroDerm Ltd.,3,0,0,71.0,Other,0.0,0.0
Singapore National Eye Centre,3,3,0,76.0,Government and Public Health,100.0,0.0
Universidade Nova de Lisboa,3,2,0,11.0,Academic,66.7,0.0
Universidade Norte do Paraná,3,3,0,42.0,Academic,100.0,0.0
Universidade Metodista de Piracicaba,3,3,0,42.0,Academic,100.0,0.0
Sino Medical Sciences Technology Inc.,3,2,0,599.0,Biotech,66.7,0.0
SIFI SpA,3,3,0,111.0,Other,100.0,0.0
