sponsor,total_trials,completed,terminated,avg_enrollment,sponsor_category,completion_rate,termination_rate
HK inno.N Corporation,13,13,0,137.0,Biotech,100.0,0.0
Dr. Lutfi Kirdar Kartal Training and Research Hospital,13,13,0,82.0,Hospital and Health System,100.0,0.0
UCB Biopharma S.P.R.L.,13,12,1,81.0,Large Pharma,92.3,7.7
Tampere University Hospital,13,12,0,95.0,Academic,92.3,0.0
Universidade Federal do Rio Grande do Norte,13,13,0,38.0,Academic,100.0,0.0
Danish Headache Center,13,13,0,45.0,Other,100.0,0.0
"Near East University, Turkey",13,13,0,83.0,Academic,100.0,0.0
"Pacira Pharmaceuticals, Inc",13,8,4,70.0,Large Pharma,61.5,30.8
Seagen Inc.,13,3,9,61.0,Large Pharma,23.1,69.2
Peking University Third Hospital,13,12,0,236.0,Academic,92.3,0.0
Singapore Institute of Food and Biotechnology Innovation,13,12,0,35.0,Biotech,92.3,0.0
Investigación en Hemofilia y Fisioterapia,13,8,0,23.0,Other,61.5,0.0
Georgia State University,13,10,0,212.0,Academic,76.9,0.0
Instituto Mexicano del Seguro Social,13,12,0,110.0,Hospital and Health System,92.3,0.0
Tianjin Medical University Cancer Institute and Hospital,13,10,0,71.0,Academic,76.9,0.0
Foundation University Islamabad,13,11,0,46.0,Academic,84.6,0.0
"Cancer Institute and Hospital, Chinese Academy of Medical Sciences",13,6,1,171.0,Biotech,46.2,7.7
Texas A&M University,13,13,0,64.0,Academic,100.0,0.0
Atridia Pty Ltd.,13,13,0,31.0,Other,100.0,0.0
"Kite, A Gilead Company",13,7,3,111.0,Large Pharma,53.8,23.1
Fisher and Paykel Healthcare,13,11,1,38.0,Hospital and Health System,84.6,7.7
Johannes Gutenberg University Mainz,13,11,2,145.0,Academic,84.6,15.4
Astellas Pharma Inc,13,11,1,147.0,Large Pharma,84.6,7.7
Kessler Foundation,13,10,1,39.0,Other,76.9,7.7
Federal University of Minas Gerais,13,13,0,52.0,Academic,100.0,0.0
Centre Oscar Lambret,13,6,2,190.0,Other,46.2,15.4
Shionogi,13,12,1,232.0,Large Pharma,92.3,7.7
Taichung Veterans General Hospital,13,9,2,71.0,Hospital and Health System,69.2,15.4
National Institutes of Health Clinical Center (CC),13,8,2,80.0,Academic,61.5,15.4
Hong Kong Baptist University,13,12,0,298.0,Academic,92.3,0.0
KK Women's and Children's Hospital,13,6,0,193.0,Hospital and Health System,46.2,0.0
Sisli Hamidiye Etfal Training and Research Hospital,13,13,0,248.0,Hospital and Health System,100.0,0.0
IRCCS San Raffaele,12,11,0,78.0,Other,91.7,0.0
Hamilton Health Sciences Corporation,12,9,3,596.0,Biotech,75.0,25.0
Steno Diabetes Center Copenhagen,12,12,0,57.0,Hospital and Health System,100.0,0.0
Ruhr University of Bochum,12,10,1,178.0,Academic,83.3,8.3
Technische Universität Dresden,12,8,2,331.0,Other,66.7,16.7
Universidad Miguel Hernandez de Elche,12,11,1,221.0,Academic,91.7,8.3
ECOG-ACRIN Cancer Research Group,12,0,1,274.0,Other,0.0,8.3
"Supernus Pharmaceuticals, Inc.",12,10,2,107.0,Large Pharma,83.3,16.7
Chung Shan Medical University,12,12,0,75.0,Academic,100.0,0.0
Istanbul Physical Medicine Rehabilitation Training and Research Hospital,12,12,0,43.0,Hospital and Health System,100.0,0.0
Fundació Institut de Recerca de l'Hospital de la Santa Creu i Sant Pau,12,10,1,62.0,Hospital and Health System,83.3,8.3
Children's National Research Institute,12,5,0,107.0,Academic,41.7,0.0
Baxalta now part of Shire,12,8,3,45.0,Large Pharma,66.7,25.0
University of Palermo,12,12,0,82.0,Academic,100.0,0.0
Hutchison Medipharma Limited,12,11,1,122.0,Large Pharma,91.7,8.3
University of Birmingham,12,11,0,66.0,Academic,91.7,0.0
"Taisho Pharmaceutical Co., Ltd.",12,12,0,71.0,Large Pharma,100.0,0.0
"National Research Centre, Egypt",12,10,0,375.0,Government and Public Health,83.3,0.0
InSightec,12,8,2,19.0,Other,66.7,16.7
Acibadem University,12,12,0,135.0,Academic,100.0,0.0
Children's Oncology Group,12,6,0,132.0,Biotech,50.0,0.0
"International Centre for Diarrhoeal Disease Research, Bangladesh",12,11,0,628.0,Government and Public Health,91.7,0.0
Vanderbilt-Ingram Cancer Center,12,8,2,82.0,Hospital and Health System,66.7,16.7
"Taiho Oncology, Inc.",12,4,6,82.0,Biotech,33.3,50.0
"Charles University, Czech Republic",12,10,0,104.0,Academic,83.3,0.0
Zhujiang Hospital,12,11,0,102.0,Hospital and Health System,91.7,0.0
RTI International,12,7,3,919.0,Government and Public Health,58.3,25.0
UMC Utrecht,12,6,1,299.0,Academic,50.0,8.3
"University of Turin, Italy",12,11,0,122.0,Academic,91.7,0.0
"HaEmek Medical Center, Israel",12,6,3,55.0,Hospital and Health System,50.0,25.0
Wuerzburg University Hospital,12,9,0,392.0,Academic,75.0,0.0
Afyonkarahisar Health Sciences University,12,11,0,78.0,Biotech,91.7,0.0
Liverpool John Moores University,12,12,0,149.0,Academic,100.0,0.0
GE Healthcare,12,8,3,96.0,Hospital and Health System,66.7,25.0
Vrije Universiteit Brussel,12,11,1,139.0,Other,91.7,8.3
University College Cork,12,10,1,69.0,Academic,83.3,8.3
"University of Colorado, Boulder",12,9,0,147.0,Academic,75.0,0.0
"Ono Pharmaceutical Co., Ltd.",12,5,3,174.0,Large Pharma,41.7,25.0
Carilion Clinic,12,4,2,211.0,Hospital and Health System,33.3,16.7
University of Oslo,12,11,0,155.0,Academic,91.7,0.0
Rockefeller University,12,8,3,18.0,Academic,66.7,25.0
Hospital Universitari Vall d'Hebron Research Institute,12,11,0,62.0,Academic,91.7,0.0
University Hospital Ostrava,12,11,0,135.0,Academic,91.7,0.0
Hospital do Coracao,12,8,2,1763.0,Hospital and Health System,66.7,16.7
University Hospital Heidelberg,12,8,1,151.0,Academic,66.7,8.3
